Month,Year,Municipality,Dengue_Cases
Jun,2023,Alaminos City,0
Jul,2023,Alaminos City,6
Aug,2023,Alaminos City,6
Sep,2023,Alaminos City,7
Oct,2023,Alaminos City,4
Nov,2023,Alaminos City,3
Dec,2023,Alaminos City,2
Jan,2024,Alaminos City,1
Feb,2024,Alaminos City,1
Mar,2024,Alaminos City,2
Apr,2024,Alaminos City,1
May,2024,Alaminos City,1
Jun,2024,Alaminos City,3
Jul,2024,Alaminos City,44
Aug,2024,Alaminos City,47
Sep,2024,Alaminos City,21
Oct,2024,Alaminos City,0
Jan,2019,Alcala,13
Feb,2019,Alcala,4
Mar,2019,Alcala,2
Apr,2019,Alcala,0
May,2019,Alcala,2
Jun,2019,Alcala,4
Jul,2019,Alcala,17
Aug,2019,Alcala,11
Sep,2019,Alcala,15
Oct,2019,Alcala,12
Nov,2019,Alcala,1
Dec,2019,Alcala,0
Jan,2020,Alcala,1
Feb,2020,Alcala,2
Mar,2020,Alcala,0
Apr,2020,Alcala,0
May,2020,Alcala,0
Jun,2020,Alcala,1
Jul,2020,Alcala,3
Aug,2020,Alcala,5
Sep,2020,Alcala,5
Oct,2020,Alcala,5
Nov,2020,Alcala,8
Dec,2020,Alcala,5
Jan,2021,Alcala,7
Feb,2021,Alcala,0
Mar,2021,Alcala,1
Apr,2021,Alcala,1
May,2021,Alcala,1
Jun,2021,Alcala,1
Jul,2021,Alcala,4
Aug,2021,Alcala,7
Sep,2021,Alcala,0
Oct,2021,Alcala,1
Nov,2021,Alcala,0
Dec,2021,Alcala,2
Jan,2022,Alcala,0
Feb,2022,Alcala,1
Mar,2022,Alcala,0
Apr,2022,Alcala,2
May,2022,Alcala,4
Jun,2022,Alcala,1
Jul,2022,Alcala,3
Aug,2022,Alcala,10
Sep,2022,Alcala,2
Oct,2022,Alcala,3
Nov,2022,Alcala,0
Dec,2022,Alcala,3
Jan,2023,Alcala,0
Feb,2023,Alcala,0
Mar,2023,Alcala,1
Apr,2023,Alcala,0
May,2023,Alcala,0
Jun,2023,Alcala,2
Jul,2023,Alcala,1
Aug,2023,Alcala,3
Sep,2023,Alcala,3
Oct,2023,Alcala,4
Nov,2023,Alcala,2
Dec,2023,Alcala,2
Jan,2024,Alcala,0
Feb,2024,Alcala,1
Mar,2024,Alcala,5
Apr,2024,Alcala,0
May,2024,Alcala,2
Jun,2024,Alcala,1
Jul,2024,Alcala,5
Aug,2024,Alcala,10
Sep,2024,Alcala,5
Oct,2024,Alcala,0
Jan,2019,Anda,5
Feb,2019,Anda,6
Mar,2019,Anda,3
Apr,2019,Anda,1
May,2019,Anda,6
Jun,2019,Anda,19
Jul,2019,Anda,56
Aug,2019,Anda,38
Sep,2019,Anda,16
Oct,2019,Anda,10
Nov,2019,Anda,8
Dec,2019,Anda,0
Jan,2020,Anda,1
Feb,2020,Anda,2
Mar,2020,Anda,0
Apr,2020,Anda,1
May,2020,Anda,1
Jun,2020,Anda,0
Jul,2020,Anda,0
Aug,2020,Anda,0
Sep,2020,Anda,0
Oct,2020,Anda,0
Nov,2020,Anda,1
Dec,2020,Anda,1
Jan,2021,Anda,1
Feb,2021,Anda,1
Mar,2021,Anda,1
Apr,2021,Anda,2
May,2021,Anda,3
Jun,2021,Anda,9
Jul,2021,Anda,21
Aug,2021,Anda,15
Sep,2021,Anda,2
Oct,2021,Anda,0
Nov,2021,Anda,0
Dec,2021,Anda,0
Jan,2022,Anda,0
Feb,2022,Anda,1
Mar,2022,Anda,0
Apr,2022,Anda,0
May,2022,Anda,1
Jun,2022,Anda,1
Jul,2022,Anda,2
Aug,2022,Anda,1
Sep,2022,Anda,1
Oct,2022,Anda,1
Nov,2022,Anda,0
Dec,2022,Anda,1
Jan,2023,Anda,3
Feb,2023,Anda,0
Mar,2023,Anda,0
Apr,2023,Anda,0
May,2023,Anda,0
Jun,2023,Anda,1
Jul,2023,Anda,0
Aug,2023,Anda,2
Sep,2023,Anda,0
Oct,2023,Anda,0
Nov,2023,Anda,1
Dec,2023,Anda,0
Jan,2024,Anda,2
Feb,2024,Anda,0
Mar,2024,Anda,0
Apr,2024,Anda,1
May,2024,Anda,3
Jun,2024,Anda,7
Jul,2024,Anda,23
Aug,2024,Anda,16
Sep,2024,Anda,0
Oct,2024,Anda,0
Jan,2019,Asingan,12
Feb,2019,Asingan,5
Mar,2019,Asingan,4
Apr,2019,Asingan,1
May,2019,Asingan,3
Jun,2019,Asingan,0
Jul,2019,Asingan,7
Aug,2019,Asingan,13
Sep,2019,Asingan,25
Oct,2019,Asingan,27
Nov,2019,Asingan,12
Dec,2019,Asingan,6
Jan,2020,Asingan,7
Feb,2020,Asingan,15
Mar,2020,Asingan,1
Apr,2020,Asingan,0
May,2020,Asingan,1
Jun,2020,Asingan,3
Jul,2020,Asingan,10
Aug,2020,Asingan,20
Sep,2020,Asingan,11
Oct,2020,Asingan,20
Nov,2020,Asingan,28
Dec,2020,Asingan,18
Jan,2021,Asingan,17
Feb,2021,Asingan,12
Mar,2021,Asingan,9
Apr,2021,Asingan,3
May,2021,Asingan,2
Jun,2021,Asingan,12
Jul,2021,Asingan,21
Aug,2021,Asingan,29
Sep,2021,Asingan,6
Oct,2021,Asingan,2
Nov,2021,Asingan,0
Dec,2021,Asingan,1
Jan,2022,Asingan,1
Feb,2022,Asingan,1
Mar,2022,Asingan,0
Apr,2022,Asingan,0
May,2022,Asingan,3
Jun,2022,Asingan,4
Jul,2022,Asingan,10
Aug,2022,Asingan,32
Sep,2022,Asingan,13
Oct,2022,Asingan,9
Nov,2022,Asingan,3
Dec,2022,Asingan,4
Jan,2023,Asingan,2
Feb,2023,Asingan,0
Mar,2023,Asingan,1
Apr,2023,Asingan,2
May,2023,Asingan,0
Jun,2023,Asingan,4
Jul,2023,Asingan,1
Aug,2023,Asingan,5
Sep,2023,Asingan,0
Oct,2023,Asingan,1
Nov,2023,Asingan,1
Dec,2023,Asingan,0
Jan,2024,Asingan,0
Feb,2024,Asingan,0
Mar,2024,Asingan,0
Apr,2024,Asingan,0
May,2024,Asingan,0
Jun,2024,Asingan,0
Jul,2024,Asingan,5
Aug,2024,Asingan,20
Sep,2024,Asingan,12
Oct,2024,Asingan,1
Jan,2019,Balungao,0
Feb,2019,Balungao,0
Mar,2019,Balungao,0
Apr,2019,Balungao,0
May,2019,Balungao,0
Jun,2019,Balungao,4
Jul,2019,Balungao,28
Aug,2019,Balungao,46
Sep,2019,Balungao,17
Oct,2019,Balungao,6
Nov,2019,Balungao,2
Dec,2019,Balungao,2
Jan,2020,Balungao,2
Feb,2020,Balungao,1
Mar,2020,Balungao,0
Apr,2020,Balungao,0
May,2020,Balungao,0
Jun,2020,Balungao,0
Jul,2020,Balungao,0
Aug,2020,Balungao,0
Sep,2020,Balungao,0
Oct,2020,Balungao,0
Nov,2020,Balungao,1
Dec,2020,Balungao,2
Jan,2021,Balungao,1
Feb,2021,Balungao,3
Mar,2021,Balungao,0
Apr,2021,Balungao,0
May,2021,Balungao,4
Jun,2021,Balungao,0
Jul,2021,Balungao,5
Aug,2021,Balungao,4
Sep,2021,Balungao,0
Oct,2021,Balungao,0
Nov,2021,Balungao,0
Dec,2021,Balungao,0
Jan,2022,Balungao,0
Feb,2022,Balungao,0
Mar,2022,Balungao,0
Apr,2022,Balungao,0
May,2022,Balungao,2
