Month,Year,Municipality,Dengue_Cases
Oct,2019,Bugallon,48
Nov,2019,Bugallon,14
Dec,2019,Bugallon,2
Jan,2020,Bugallon,11
Feb,2020,Bugallon,12
Mar,2020,Bugallon,7
Apr,2020,Bugallon,3
May,2020,Bugallon,6
Jun,2020,Bugallon,65
Jul,2020,Bugallon,89
Aug,2020,Bugallon,40
Sep,2020,Bugallon,21
Oct,2020,Bugallon,6
Nov,2020,Bugallon,10
Dec,2020,Bugallon,4
Jan,2021,Bugallon,7
Feb,2021,Bugallon,1
Mar,2021,Bugallon,2
Apr,2021,Bugallon,1
May,2021,Bugallon,2
Jun,2021,Bugallon,7
Jul,2021,Bugallon,18
Aug,2021,Bugallon,7
Sep,2021,Bugallon,5
Oct,2021,Bugallon,1
Nov,2021,Bugallon,1
Dec,2021,Bugallon,2
Jan,2022,Bugallon,0
Feb,2022,Bugallon,3
Mar,2022,Bugallon,0
Apr,2022,Bugallon,1
May,2022,Bugallon,3
Jun,2022,Bugallon,9
Jul,2022,Bugallon,21
Aug,2022,Bugallon,17
Sep,2022,Bugallon,12
Oct,2022,Bugallon,4
Nov,2022,Bugallon,2
Dec,2022,Bugallon,0
Jan,2023,Bugallon,2
Feb,2023,Bugallon,2
Mar,2023,Bugallon,3
Apr,2023,Bugallon,4
May,2023,Bugallon,6
Jun,2023,Bugallon,6
Jul,2023,Bugallon,76
Aug,2023,Bugallon,60
Sep,2023,Bugallon,50
Oct,2023,Bugallon,51
Nov,2023,Bugallon,30
Dec,2023,Bugallon,21
Jan,2024,Bugallon,13
Feb,2024,Bugallon,11
Mar,2024,Bugallon,4
Apr,2024,Bugallon,4
May,2024,Bugallon,3
Jun,2024,Bugallon,18
Jul,2024,Bugallon,78
Aug,2024,Bugallon,136
Sep,2024,Bugallon,88
Oct,2024,Bugallon,11
Jan,2019,Burgos,1
Feb,2019,Burgos,0
Mar,2019,Burgos,0
Apr,2019,Burgos,0
May,2019,Burgos,0
Jun,2019,Burgos,2
Jul,2019,Burgos,14
Aug,2019,Burgos,26
Sep,2019,Burgos,22
Oct,2019,Burgos,11
Nov,2019,Burgos,12
Dec,2019,Burgos,4
Jan,2020,Burgos,11
Feb,2020,Burgos,3
Mar,2020,Burgos,4
Apr,2020,Burgos,3
May,2020,Burgos,1
Jun,2020,Burgos,3
Jul,2020,Burgos,7
Aug,2020,Burgos,22
Sep,2020,Burgos,3
Oct,2020,Burgos,0
Nov,2020,Burgos,6
Dec,2020,Burgos,0
Jan,2021,Burgos,0
Feb,2021,Burgos,0
Mar,2021,Burgos,2
Apr,2021,Burgos,0
May,2021,Burgos,2
Jun,2021,Burgos,6
Jul,2021,Burgos,7
Aug,2021,Burgos,15
Sep,2021,Burgos,2
Oct,2021,Burgos,1
Nov,2021,Burgos,1
Dec,2021,Burgos,0
Jan,2022,Burgos,0
Feb,2022,Burgos,0
Mar,2022,Burgos,0
Apr,2022,Burgos,0
May,2022,Burgos,1
Jun,2022,Burgos,8
Jul,2022,Burgos,11
Aug,2022,Burgos,6
Sep,2022,Burgos,0
Oct,2022,Burgos,1
Nov,2022,Burgos,3
Dec,2022,Burgos,0
Jan,2023,Burgos,0
Feb,2023,Burgos,0
Mar,2023,Burgos,0
Apr,2023,Burgos,0
May,2023,Burgos,0
Jun,2023,Burgos,0
Jul,2023,Burgos,2
Aug,2023,Burgos,4
Sep,2023,Burgos,2
Oct,2023,Burgos,2
Nov,2023,Burgos,0
Dec,2023,Burgos,0
Jan,2024,Burgos,0
Feb,2024,Burgos,0
Mar,2024,Burgos,0
Apr,2024,Burgos,0
May,2024,Burgos,0
Jun,2024,Burgos,0
Jul,2024,Burgos,9
Aug,2024,Burgos,11
Sep,2024,Burgos,6
Oct,2024,Burgos,0
Jan,2019,Calasiao,23
Feb,2019,Calasiao,7
Mar,2019,Calasiao,6
Apr,2019,Calasiao,3
May,2019,Calasiao,2
Jun,2019,Calasiao,13
Jul,2019,Calasiao,39
Aug,2019,Calasiao,95
Sep,2019,Calasiao,93
Oct,2019,Calasiao,84
Nov,2019,Calasiao,36
Dec,2019,Calasiao,24
Jan,2020,Calasiao,25
Feb,2020,Calasiao,20
Mar,2020,Calasiao,7
Apr,2020,Calasiao,2
May,2020,Calasiao,3
Jun,2020,Calasiao,5
Jul,2020,Calasiao,26
Aug,2020,Calasiao,45
Sep,2020,Calasiao,45
Oct,2020,Calasiao,56
Nov,2020,Calasiao,83
Dec,2020,Calasiao,31
Jan,2021,Calasiao,31
Feb,2021,Calasiao,11
Mar,2021,Calasiao,8
Apr,2021,Calasiao,3
May,2021,Calasiao,3
Jun,2021,Calasiao,3
Jul,2021,Calasiao,18
Aug,2021,Calasiao,33
Sep,2021,Calasiao,21
Oct,2021,Calasiao,12
Nov,2021,Calasiao,8
Dec,2021,Calasiao,7
Jan,2022,Calasiao,6
Feb,2022,Calasiao,3
Mar,2022,Calasiao,6
Apr,2022,Calasiao,5
May,2022,Calasiao,8
Jun,2022,Calasiao,18
Jul,2022,Calasiao,18
Aug,2022,Calasiao,24
Sep,2022,Calasiao,12
Oct,2022,Calasiao,5
Nov,2022,Calasiao,6
Dec,2022,Calasiao,0
Jan,2023,Calasiao,5
Feb,2023,Calasiao,10
Mar,2023,Calasiao,8
Apr,2023,Calasiao,10
May,2023,Calasiao,5
Jun,2023,Calasiao,8
Jul,2023,Calasiao,7
Aug,2023,Calasiao,22
Sep,2023,Calasiao,30
Oct,2023,Calasiao,23
Nov,2023,Calasiao,21
Dec,2023,Calasiao,9
Jan,2024,Calasiao,9
Feb,2024,Calasiao,8
Mar,2024,Calasiao,4
Apr,2024,Calasiao,3
May,2024,Calasiao,2
Jun,2024,Calasiao,5
Jul,2024,Calasiao,29
Aug,2024,Calasiao,97
Sep,2024,Calasiao,69
Oct,2024,Calasiao,37
Jan,2019,Dagupan City,29
Feb,2019,Dagupan City,16
Mar,2019,Dagupan City,6
Apr,2019,Dagupan City,6
May,2019,Dagupan City,6
Jun,2019,Dagupan City,12
Jul,2019,Dagupan City,46
Aug,2019,Dagupan City,65
Sep,2019,Dagupan City,117
Oct,2019,Dagupan City,125
Nov,2019,Dagupan City,74
Dec,2019,Dagupan City,51
Jan,2020,Dagupan City,37
Feb,2020,Dagupan City,23
Mar,2020,Dagupan City,21
Apr,2020,Dagupan City,2
May,2020,Dagupan City,1
Jun,2020,Dagupan City,5
Jul,2020,Dagupan City,15
Aug,2020,Dagupan City,37
Sep,2020,Dagupan City,56
Oct,2020,Dagupan City,39
Nov,2020,Dagupan City,39
Dec,2020,Dagupan City,18
Jan,2021,Dagupan City,21
Feb,2021,Dagupan City,13
Mar,2021,Dagupan City,10
Apr,2021,Dagupan City,7
May,2021,Dagupan City,2
Jun,2021,Dagupan City,6
Jul,2021,Dagupan City,8
Aug,2021,Dagupan City,39
Sep,2021,Dagupan City,17
Oct,2021,Dagupan City,11
Nov,2021,Dagupan City,7
Dec,2021,Dagupan City,2
Jan,2022,Dagupan City,4
Feb,2022,Dagupan City,5
Mar,2022,Dagupan City,2
Apr,2022,Dagupan City,10
May,2022,Dagupan City,8
Jun,2022,Dagupan City,13
Jul,2022,Dagupan City,23
Aug,2022,Dagupan City,39
Sep,2022,Dagupan City,28
Oct,2022,Dagupan City,20
Nov,2022,Dagupan City,18
Dec,2022,Dagupan City,17
Jan,2023,Dagupan City,8
Feb,2023,Dagupan City,9
Mar,2023,Dagupan City,9
Apr,2023,Dagupan City,10
May,2023,Dagupan City,5
Jun,2023,Dagupan City,4
Jul,2023,Dagupan City,13
Aug,2023,Dagupan City,25
Sep,2023,Dagupan City,44
Oct,2023,Dagupan City,37
Nov,2023,Dagupan City,26
Dec,2023,Dagupan City,11
Jan,2024,Dagupan City,15
Feb,2024,Dagupan City,11
Mar,2024,Dagupan City,7
Apr,2024,Dagupan City,1
May,2024,Dagupan City,0
Jun,2024,Dagupan City,8
Jul,2024,Dagupan City,30
Aug,2024,Dagupan City,77
Sep,2024,Dagupan City,23
Oct,2024,Dagupan City,3
Jan,2019,Dasol,3
Feb,2019,Dasol,0
Mar,2019,Dasol,1
Apr,2019,Dasol,2
May,2019,Dasol,1
Jun,2019,Dasol,6
Jul,2019,Dasol,22
Aug,2019,Dasol,13
Sep,2019,Dasol,27
Oct,2019,Dasol,7
Nov,2019,Dasol,11
Dec,2019,Dasol,2
Jan,2020,Dasol,7
Feb,2020,Dasol,2
Mar,2020,Dasol,2
Apr,2020,Dasol,3
May,2020,Dasol,9
Jun,2020,Dasol,21
Jul,2020,Dasol,28
Aug,2020,Dasol,18
Sep,2020,Dasol,3
Oct,2020,Dasol,1
Nov,2020,Dasol,4
Dec,2020,Dasol,1
Jan,2021,Dasol,1
Feb,2021,Dasol,0
Mar,2021,Dasol,1
Apr,2021,Dasol,2
May,2021,Dasol,3
Jun,2021,Dasol,1
Jul,2021,Dasol,3
Aug,2021,Dasol,19
Sep,2021,Dasol,8
Oct,2021,Dasol,2
Nov,2021,Dasol,0
Dec,2021,Dasol,0
Jan,2022,Dasol,1
Feb,2022,Dasol,0
Mar,2022,Dasol,0
Apr,2022,Dasol,0
May,2022,Dasol,10
Jun,2022,Dasol,17
Jul,2022,Dasol,19
Aug,2022,Dasol,9
Sep,2022,Dasol,2
Oct,2022,Dasol,2
Nov,2022,Dasol,2
Dec,2022,Dasol,1
Jan,2023,Dasol,2
Feb,2023,Dasol,1
Mar,2023,Dasol,2
Apr,2023,Dasol,0
May,2023,Dasol,1
Jun,2023,Dasol,0
Jul,2023,Dasol,0
Aug,2023,Dasol,8
Sep,2023,Dasol,3
Oct,2023,Dasol,4
Nov,2023,Dasol,5
Dec,2023,Dasol,1
Jan,2024,Dasol,1
Feb,2024,Dasol,0
Mar,2024,Dasol,0
Apr,2024,Dasol,0
May,2024,Dasol,0
Jun,2024,Dasol,0
Jul,2024,Dasol,5
Aug,2024,Dasol,15
Sep,2024,Dasol,2
Oct,2024,Dasol,0
Jan,2019,Infanta,0
Feb,2019,Infanta,1
Mar,2019,Infanta,0
Apr,2019,Infanta,0
May,2019,Infanta,1
Jun,2019,Infanta,10
Jul,2019,Infanta,21
Aug,2019,Infanta,8
Sep,2019,Infanta,4
Oct,2019,Infanta,1
Nov,2019,Infanta,3
Dec,2019,Infanta,0
Jan,2020,Infanta,0
Feb,2020,Infanta,2
Mar,2020,Infanta,1
Apr,2020,Infanta,0
May,2020,Infanta,0
Jun,2020,Infanta,1
Jul,2020,Infanta,0
Aug,2020,Infanta,2
Sep,2020,Infanta,0
Oct,2020,Infanta,0
Nov,2020,Infanta,1
Dec,2020,Infanta,0
Jan,2021,Infanta,1
Feb,2021,Infanta,0
Mar,2021,Infanta,0
Apr,2021,Infanta,0
May,2021,Infanta,3
Jun,2021,Infanta,4
Jul,2021,Infanta,6
Aug,2021,Infanta,6
Sep,2021,Infanta,5
Oct,2021,Infanta,10
Nov,2021,Infanta,0
Dec,2021,Infanta,0
Jan,2022,Infanta,0
Feb,2022,Infanta,0
Mar,2022,Infanta,0
Apr,2022,Infanta,0
May,2022,Infanta,0
Jun,2022,Infanta,1
Jul,2022,Infanta,1
Aug,2022,Infanta,5
Sep,2022,Infanta,2
Oct,2022,Infanta,0
Nov,2022,Infanta,0
Dec,2022,Infanta,0
Jan,2023,Infanta,2
Feb,2023,Infanta,1
Mar,2023,Infanta,0
Apr,2023,Infanta,0
May,2023,Infanta,0
Jun,2023,Infanta,0
Jul,2023,Infanta,2
Aug,2023,Infanta,17
Sep,2023,Infanta,5
Oct,2023,Infanta,2
Nov,2023,Infanta,4
Dec,2023,Infanta,1
Jan,2024,Infanta,0
Feb,2024,Infanta,0
Mar,2024,Infanta,0
Apr,2024,Infanta,0
May,2024,Infanta,0
Jun,2024,Infanta,1
Jul,2024,Infanta,7
Aug,2024,Infanta,12
Sep,2024,Infanta,6
Oct,2024,Infanta,0
Jan,2019,Labrador,2
Feb,2019,Labrador,0
Mar,2019,Labrador,0
Apr,2019,Labrador,0
May,2019,Labrador,0
Jun,2019,Labrador,4
Jul,2019,Labrador,7
Aug,2019,Labrador,15
Sep,2019,Labrador,5
Oct,2019,Labrador,13
Nov,2019,Labrador,4
Dec,2019,Labrador,1
Jan,2020,Labrador,1
Feb,2020,Labrador,5
Mar,2020,Labrador,1
Apr,2020,Labrador,0
May,2020,Labrador,0
Jun,2020,Labrador,0
Jul,2020,Labrador,3
Aug,2020,Labrador,2
Sep,2020,Labrador,4
Oct,2020,Labrador,1
Nov,2020,Labrador,2
Dec,2020,Labrador,4
Jan,2021,Labrador,2
Feb,2021,Labrador,3
Mar,2021,Labrador,4
Apr,2021,Labrador,1
May,2021,Labrador,2
Jun,2021,Labrador,6
Jul,2021,Labrador,1
Aug,2021,Labrador,5
Sep,2021,Labrador,1
Oct,2021,Labrador,0
Nov,2021,Labrador,0
Dec,2021,Labrador,4
Jan,2022,Labrador,0
Feb,2022,Labrador,0
Mar,2022,Labrador,0
Apr,2022,Labrador,1
May,2022,Labrador,4
Jun,2022,Labrador,4
Jul,2022,Labrador,16
Aug,2022,Labrador,8
Sep,2022,Labrador,5
Oct,2022,Labrador,1
Nov,2022,Labrador,0
Dec,2022,Labrador,2
Jan,2023,Labrador,0
Feb,2023,Labrador,1
Mar,2023,Labrador,1
Apr,2023,Labrador,1
May,2023,Labrador,2
Jun,2023,Labrador,0
Jul,2023,Labrador,2
Aug,2023,Labrador,3
Sep,2023,Labrador,8
Oct,2023,Labrador,10
Nov,2023,Labrador,8
Dec,2023,Labrador,3
Jan,2024,Labrador,10
Feb,2024,Labrador,16
Mar,2024,Labrador,4
Apr,2024,Labrador,2
May,2024,Labrador,1
Jun,2024,Labrador,5
Jul,2024,Labrador,25
Aug,2024,Labrador,45
Sep,2024,Labrador,24
Oct,2024,Labrador,2
Jan,2019,Laoac,4
Feb,2019,Laoac,6
Mar,2019,Laoac,1
Apr,2019,Laoac,1
May,2019,Laoac,0
Jun,2019,Laoac,1
Jul,2019,Laoac,1
Aug,2019,Laoac,15
Sep,2019,Laoac,17
Oct,2019,Laoac,13
Nov,2019,Laoac,12
Dec,2019,Laoac,4
Jan,2020,Laoac,3
Feb,2020,Laoac,1
Mar,2020,Laoac,1
Apr,2020,Laoac,0
May,2020,Laoac,0
Jun,2020,Laoac,1
Jul,2020,Laoac,4
Aug,2020,Laoac,6
Sep,2020,Laoac,5
Oct,2020,Laoac,3
Nov,2020,Laoac,9
Dec,2020,Laoac,15
Jan,2021,Laoac,4
Feb,2021,Laoac,4
Mar,2021,Laoac,3
Apr,2021,Laoac,1
May,2021,Laoac,0
Jun,2021,Laoac,3
Jul,2021,Laoac,8
Aug,2021,Laoac,8
Sep,2021,Laoac,4
Oct,2021,Laoac,3
Nov,2021,Laoac,2
Dec,2021,Laoac,1
Jan,2022,Laoac,1
Feb,2022,Laoac,0
Mar,2022,Laoac,0
Apr,2022,Laoac,2
May,2022,Laoac,6
Jun,2022,Laoac,4
Jul,2022,Laoac,23
Aug,2022,Laoac,11
Sep,2022,Laoac,2
Oct,2022,Laoac,2
Nov,2022,Laoac,3
Dec,2022,Laoac,0
Jan,2023,Laoac,1
Feb,2023,Laoac,0
Mar,2023,Laoac,0
Apr,2023,Laoac,0
May,2023,Laoac,0
Jun,2023,Laoac,2
Jul,2023,Laoac,2
Aug,2023,Laoac,1
Sep,2023,Laoac,0
Oct,2023,Laoac,1
Nov,2023,Laoac,3
Dec,2023,Laoac,5
Jan,2024,Laoac,0
Feb,2024,Laoac,0
Mar,2024,Laoac,0
Apr,2024,Laoac,0
May,2024,Laoac,0
Jun,2024,Laoac,0
Jul,2024,Laoac,7
Aug,2024,Laoac,13
Sep,2024,Laoac,11
Oct,2024,Laoac,9
Jan,2019,Lingayen,25
Feb,2019,Lingayen,23
Mar,2019,Lingayen,11
Apr,2019,Lingayen,0
May,2019,Lingayen,1
Jun,2019,Lingayen,7
Jul,2019,Lingayen,61
Aug,2019,Lingayen,110
Sep,2019,Lingayen,117
Oct,2019,Lingayen,90
Nov,2019,Lingayen,57
Dec,2019,Lingayen,34
Jan,2020,Lingayen,13
Feb,2020,Lingayen,15
Mar,2020,Lingayen,6
Apr,2020,Lingayen,0
May,2020,Lingayen,1
Jun,2020,Lingayen,8
Jul,2020,Lingayen,24
Aug,2020,Lingayen,38
Sep,2020,Lingayen,42
Oct,2020,Lingayen,42
Nov,2020,Lingayen,47
Dec,2020,Lingayen,39
Jan,2021,Lingayen,20
Feb,2021,Lingayen,15
Mar,2021,Lingayen,13
Apr,2021,Lingayen,9
May,2021,Lingayen,2
Jun,2021,Lingayen,13
Jul,2021,Lingayen,25
Aug,2021,Lingayen,20
Sep,2021,Lingayen,19
Oct,2021,Lingayen,10
Nov,2021,Lingayen,10
Dec,2021,Lingayen,5
Jan,2022,Lingayen,3
Feb,2022,Lingayen,2
Mar,2022,Lingayen,2
Apr,2022,Lingayen,1
May,2022,Lingayen,11
Jun,2022,Lingayen,20
Jul,2022,Lingayen,27
Aug,2022,Lingayen,28
Sep,2022,Lingayen,27
Oct,2022,Lingayen,12
Nov,2022,Lingayen,6
Dec,2022,Lingayen,3
Jan,2023,Lingayen,3
Feb,2023,Lingayen,1
Mar,2023,Lingayen,2
Apr,2023,Lingayen,2
May,2023,Lingayen,5
Jun,2023,Lingayen,9
Jul,2023,Lingayen,6
Aug,2023,Lingayen,25
Sep,2023,Lingayen,75
Oct,2023,Lingayen,84
Nov,2023,Lingayen,77
Dec,2023,Lingayen,41
Jan,2024,Lingayen,30
Feb,2024,Lingayen,39
Mar,2024,Lingayen,27
Apr,2024,Lingayen,21
May,2024,Lingayen,10
Jun,2024,Lingayen,26
Jul,2024,Lingayen,117
Aug,2024,Lingayen,244
Sep,2024,Lingayen,184
Oct,2024,Lingayen,57
Jan,2019,Mabini,0
Feb,2019,Mabini,0
Mar,2019,Mabini,0
Apr,2019,Mabini,0
May,2019,Mabini,0
Jun,2019,Mabini,2
Jul,2019,Mabini,10
Aug,2019,Mabini,6
Sep,2019,Mabini,11
Oct,2019,Mabini,6
Nov,2019,Mabini,2
Dec,2019,Mabini,2
Jan,2020,Mabini,0
Feb,2020,Mabini,0
Mar,2020,Mabini,0
Apr,2020,Mabini,0
May,2020,Mabini,3
Jun,2020,Mabini,2
Jul,2020,Mabini,2
Aug,2020,Mabini,1
Sep,2020,Mabini,0
Oct,2020,Mabini,1
Nov,2020,Mabini,1
Dec,2020,Mabini,0
Jan,2021,Mabini,0
Feb,2021,Mabini,0
Mar,2021,Mabini,0
Apr,2021,Mabini,0
May,2021,Mabini,1
Jun,2021,Mabini,2
Jul,2021,Mabini,1
Aug,2021,Mabini,0
Sep,2021,Mabini,1
Oct,2021,Mabini,0
Nov,2021,Mabini,0
Dec,2021,Mabini,0
Jan,2022,Mabini,0
Feb,2022,Mabini,0
Mar,2022,Mabini,0
Apr,2022,Mabini,1
May,2022,Mabini,2
Jun,2022,Mabini,2
Jul,2022,Mabini,5
Aug,2022,Mabini,5
Sep,2022,Mabini,3
Oct,2022,Mabini,0
Nov,2022,Mabini,1
Dec,2022,Mabini,0
Jan,2023,Mabini,0
Feb,2023,Mabini,0
Mar,2023,Mabini,2
Apr,2023,Mabini,0
May,2023,Mabini,0
Jun,2023,Mabini,0
Jul,2023,Mabini,4
Aug,2023,Mabini,3
Sep,2023,Mabini,0
Oct,2023,Mabini,2
Nov,2023,Mabini,1
Dec,2023,Mabini,1
Jan,2024,Mabini,0
Feb,2024,Mabini,0
Mar,2024,Mabini,0
Apr,2024,Mabini,0
May,2024,Mabini,0
Jun,2024,Mabini,0
Jul,2024,Mabini,0
Aug,2024,Mabini,7
Sep,2024,Mabini,5
Oct,2024,Mabini,0
Jan,2019,Malasiqui,24
Feb,2019,Malasiqui,27
Mar,2019,Malasiqui,5
Apr,2019,Malasiqui,3
May,2019,Malasiqui,2
Jun,2019,Malasiqui,6
Jul,2019,Malasiqui,32
Aug,2019,Malasiqui,136
Sep,2019,Malasiqui,141
Oct,2019,Malasiqui,108
Nov,2019,Malasiqui,54
Dec,2019,Malasiqui,19
Jan,2020,Malasiqui,25
Feb,2020,Malasiqui,16
Mar,2020,Malasiqui,9
Apr,2020,Malasiqui,0
May,2020,Malasiqui,7
Jun,2020,Malasiqui,10
Jul,2020,Malasiqui,20
Aug,2020,Malasiqui,55
Sep,2020,Malasiqui,72
Oct,2020,Malasiqui,79
Nov,2020,Malasiqui,60
Dec,2020,Malasiqui,29
Jan,2021,Malasiqui,23
Feb,2021,Malasiqui,11
Mar,2021,Malasiqui,2
Apr,2021,Malasiqui,4
May,2021,Malasiqui,3
Jun,2021,Malasiqui,7
Jul,2021,Malasiqui,13
Aug,2021,Malasiqui,39
Sep,2021,Malasiqui,10
Oct,2021,Malasiqui,4
Nov,2021,Malasiqui,6
Dec,2021,Malasiqui,5
Jan,2022,Malasiqui,2
Feb,2022,Malasiqui,2
Mar,2022,Malasiqui,1
Apr,2022,Malasiqui,4
May,2022,Malasiqui,6
Jun,2022,Malasiqui,39
Jul,2022,Malasiqui,54
Aug,2022,Malasiqui,24
Sep,2022,Malasiqui,16
Oct,2022,Malasiqui,9
Nov,2022,Malasiqui,3
Dec,2022,Malasiqui,2
Jan,2023,Malasiqui,4
Feb,2023,Malasiqui,5
Mar,2023,Malasiqui,4
Apr,2023,Malasiqui,6
May,2023,Malasiqui,9
Jun,2023,Malasiqui,9
Jul,2023,Malasiqui,12
Aug,2023,Malasiqui,14
Sep,2023,Malasiqui,22
Oct,2023,Malasiqui,37
Nov,2023,Malasiqui,15
Dec,2023,Malasiqui,7
Jan,2024,Malasiqui,8
Feb,2024,Malasiqui,3
Mar,2024,Malasiqui,6
Apr,2024,Malasiqui,3
May,2024,Malasiqui,0
Jun,2024,Malasiqui,3
Jul,2024,Malasiqui,31
Aug,2024,Malasiqui,105
Sep,2024,Malasiqui,75
Oct,2024,Malasiqui,31
Jan,2019,Manaoag,16
Feb,2019,Manaoag,3
Mar,2019,Manaoag,4
Apr,2019,Manaoag,2
May,2019,Manaoag,0
Jun,2019,Manaoag,5
Jul,2019,Manaoag,9
Aug,2019,Manaoag,33
Sep,2019,Manaoag,37
Oct,2019,Manaoag,41
Nov,2019,Manaoag,17
Dec,2019,Manaoag,9
Jan,2020,Manaoag,10
Feb,2020,Manaoag,5
Mar,2020,Manaoag,3
Apr,2020,Manaoag,0
May,2020,Manaoag,0
Jun,2020,Manaoag,10
Jul,2020,Manaoag,20
Aug,2020,Manaoag,40
Sep,2020,Manaoag,30
Oct,2020,Manaoag,9
Nov,2020,Manaoag,14
Dec,2020,Manaoag,3
Jan,2021,Manaoag,8
Feb,2021,Manaoag,2
Mar,2021,Manaoag,1
Apr,2021,Manaoag,0
May,2021,Manaoag,1
Jun,2021,Manaoag,7
Jul,2021,Manaoag,11
Aug,2021,Manaoag,8
Sep,2021,Manaoag,6
Oct,2021,Manaoag,6
Nov,2021,Manaoag,4
Dec,2021,Manaoag,1
Jan,2022,Manaoag,0
Feb,2022,Manaoag,0
Mar,2022,Manaoag,1
Apr,2022,Manaoag,0
May,2022,Manaoag,2
Jun,2022,Manaoag,2
Jul,2022,Manaoag,21
Aug,2022,Manaoag,30
Sep,2022,Manaoag,16
Oct,2022,Manaoag,10
Nov,2022,Manaoag,7
Dec,2022,Manaoag,3
Jan,2023,Manaoag,6
Feb,2023,Manaoag,3
Mar,2023,Manaoag,4
Apr,2023,Manaoag,1
May,2023,Manaoag,2
Jun,2023,Manaoag,6
Jul,2023,Manaoag,20
Aug,2023,Manaoag,8
Sep,2023,Manaoag,10
Oct,2023,Manaoag,8
Nov,2023,Manaoag,11
Dec,2023,Manaoag,9
Jan,2024,Manaoag,3
Feb,2024,Manaoag,1
Mar,2024,Manaoag,1
Apr,2024,Manaoag,1
May,2024,Manaoag,1
Jun,2024,Manaoag,0
Jul,2024,Manaoag,11
Aug,2024,Manaoag,32
Sep,2024,Manaoag,50
Oct,2024,Manaoag,19
Jan,2019,Mangaldan,17
Feb,2019,Mangaldan,7
Mar,2019,Mangaldan,0
Apr,2019,Mangaldan,3
May,2019,Mangaldan,4
Jun,2019,Mangaldan,15
Jul,2019,Mangaldan,50
Aug,2019,Mangaldan,63
Sep,2019,Mangaldan,52
Oct,2019,Mangaldan,52
Nov,2019,Mangaldan,39
Dec,2019,Mangaldan,20
Jan,2020,Mangaldan,17
Feb,2020,Mangaldan,11
Mar,2020,Mangaldan,7
Apr,2020,Mangaldan,0
May,2020,Mangaldan,0
Jun,2020,Mangaldan,2
Jul,2020,Mangaldan,4
Aug,2020,Mangaldan,12
Sep,2020,Mangaldan,14
Oct,2020,Mangaldan,17
Nov,2020,Mangaldan,30
Dec,2020,Mangaldan,24
Jan,2021,Mangaldan,13
Feb,2021,Mangaldan,7
Mar,2021,Mangaldan,3
Apr,2021,Mangaldan,2
May,2021,Mangaldan,5
Jun,2021,Mangaldan,8
Jul,2021,Mangaldan,19
Aug,2021,Mangaldan,23
Sep,2021,Mangaldan,11
Oct,2021,Mangaldan,7
Nov,2021,Mangaldan,5
Dec,2021,Mangaldan,1
Jan,2022,Mangaldan,1
Feb,2022,Mangaldan,0
Mar,2022,Mangaldan,0
Apr,2022,Mangaldan,0
May,2022,Mangaldan,1
Jun,2022,Mangaldan,5
Jul,2022,Mangaldan,18
Aug,2022,Mangaldan,17
Sep,2022,Mangaldan,9
Oct,2022,Mangaldan,14
Nov,2022,Mangaldan,8
Dec,2022,Mangaldan,1
Jan,2023,Mangaldan,2
Feb,2023,Mangaldan,1
Mar,2023,Mangaldan,4
Apr,2023,Mangaldan,3
May,2023,Mangaldan,2
Jun,2023,Mangaldan,9
Jul,2023,Mangaldan,9
Aug,2023,Mangaldan,12
Sep,2023,Mangaldan,8
Oct,2023,Mangaldan,22
Nov,2023,Mangaldan,19
Dec,2023,Mangaldan,15
Jan,2024,Mangaldan,2
Feb,2024,Mangaldan,7
Mar,2024,Mangaldan,0
Apr,2024,Mangaldan,1
May,2024,Mangaldan,0
Jun,2024,Mangaldan,3
Jul,2024,Mangaldan,14
Aug,2024,Mangaldan,27
Sep,2024,Mangaldan,16
Oct,2024,Mangaldan,3
Jan,2019,Mangatarem,0
Feb,2019,Mangatarem,0
Mar,2019,Mangatarem,0
Apr,2019,Mangatarem,0
May,2019,Mangatarem,1
Jun,2019,Mangatarem,2
Jul,2019,Mangatarem,9
Aug,2019,Mangatarem,17
Sep,2019,Mangatarem,31
Oct,2019,Mangatarem,15
Nov,2019,Mangatarem,9
Dec,2019,Mangatarem,17
Jan,2020,Mangatarem,8
Feb,2020,Mangatarem,1
Mar,2020,Mangatarem,4
Apr,2020,Mangatarem,1
May,2020,Mangatarem,0
Jun,2020,Mangatarem,10
Jul,2020,Mangatarem,10
Aug,2020,Mangatarem,14
Sep,2020,Mangatarem,11
Oct,2020,Mangatarem,3
Nov,2020,Mangatarem,4
Dec,2020,Mangatarem,3
Jan,2021,Mangatarem,0
Feb,2021,Mangatarem,0
Mar,2021,Mangatarem,2
Apr,2021,Mangatarem,1
May,2021,Mangatarem,2
Jun,2021,Mangatarem,3
Jul,2021,Mangatarem,14
Aug,2021,Mangatarem,9
Sep,2021,Mangatarem,2
Oct,2021,Mangatarem,2
Nov,2021,Mangatarem,1
Dec,2021,Mangatarem,0
Jan,2022,Mangatarem,0
Feb,2022,Mangatarem,1
Mar,2022,Mangatarem,0
Apr,2022,Mangatarem,1
May,2022,Mangatarem,0
Jun,2022,Mangatarem,1
Jul,2022,Mangatarem,3
Aug,2022,Mangatarem,8
Sep,2022,Mangatarem,1
Oct,2022,Mangatarem,2
Nov,2022,Mangatarem,1
Dec,2022,Mangatarem,0
Jan,2023,Mangatarem,0
Feb,2023,Mangatarem,0
Mar,2023,Mangatarem,0
Apr,2023,Mangatarem,0
